,valid,result,solution,order,random_result
30,True,57,"{1: [5, 8, 21, 31, 38, 44], 2: [0, 9, 15, 28, 38, 48], 3: [0, 5, 9, 18, 46, 50], 4: [8, 13, 18, 23, 26, 45], 5: [23, 32, 35, 41, 49, 52], 6: [13, 16, 19, 28, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (4, 0), (2, 1), (3, 2), (4, 1), (6, 0), (2, 2), (6, 1), (3, 3), (4, 2), (6, 2), (1, 2), (4, 3), (5, 0), (4, 4), (2, 3), (6, 3), (1, 3), (5, 1), (5, 2), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (4, 5), (3, 4), (2, 5), (5, 4), (3, 5), (5, 5)]",74
31,True,55,"{1: [5, 8, 16, 34, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 5, 10, 19, 28, 30], 4: [8, 14, 25, 30, 37, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 45, 49]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (5, 0), (6, 0), (2, 2), (4, 1), (1, 2), (6, 1), (3, 3), (6, 2), (5, 1), (4, 2), (5, 2), (2, 3), (3, 4), (6, 3), (3, 5), (4, 3), (1, 3), (4, 4), (2, 4), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (1, 5), (5, 4), (6, 5), (5, 5)]",79
32,True,57,"{1: [5, 11, 17, 30, 37, 51], 2: [0, 8, 13, 27, 40, 50], 3: [0, 5, 9, 21, 36, 44], 4: [11, 16, 22, 27, 32, 44], 5: [13, 23, 27, 40, 51, 54], 6: [8, 14, 17, 30, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (6, 0), (3, 2), (1, 1), (4, 0), (2, 2), (5, 0), (6, 1), (4, 1), (1, 2), (6, 2), (3, 3), (4, 2), (5, 1), (2, 3), (4, 3), (5, 2), (1, 3), (6, 3), (4, 4), (3, 4), (1, 4), (2, 4), (5, 3), (6, 4), (3, 5), (4, 5), (6, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",85
33,True,57,"{1: [9, 10, 14, 20, 27, 34], 2: [3, 15, 20, 30, 40, 50], 3: [10, 15, 19, 31, 43, 48], 4: [20, 25, 30, 35, 40, 48], 5: [0, 11, 15, 44, 50, 54], 6: [0, 3, 6, 15, 30, 35]}","[(5, 0), (6, 0), (2, 0), (6, 1), (6, 2), (1, 0), (1, 1), (3, 0), (5, 1), (1, 2), (2, 1), (3, 1), (5, 2), (6, 3), (3, 2), (1, 3), (2, 2), (4, 0), (4, 1), (1, 4), (2, 3), (4, 2), (6, 4), (3, 3), (1, 5), (4, 3), (6, 5), (2, 4), (4, 4), (3, 4), (5, 3), (3, 5), (4, 5), (2, 5), (5, 4), (5, 5)]",66
34,True,55,"{1: [7, 10, 16, 22, 42, 49], 2: [0, 8, 15, 28, 38, 48], 3: [1, 6, 11, 19, 28, 30], 4: [8, 13, 27, 34, 37, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 45, 49]}","[(2, 0), (3, 0), (3, 1), (1, 0), (2, 1), (4, 0), (1, 1), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (1, 3), (5, 1), (5, 2), (4, 2), (2, 3), (3, 4), (6, 3), (3, 5), (4, 3), (4, 4), (2, 4), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (1, 5), (5, 4), (6, 5), (5, 5)]",64
35,True,58,"{1: [2, 12, 18, 26, 38, 45], 2: [3, 11, 18, 28, 40, 50], 3: [3, 9, 18, 31, 41, 51], 4: [11, 16, 27, 33, 37, 45], 5: [16, 25, 28, 41, 50, 54], 6: [0, 5, 8, 21, 33, 37]}","[(6, 0), (1, 0), (2, 0), (3, 0), (6, 1), (6, 2), (3, 1), (2, 1), (4, 0), (1, 1), (4, 1), (5, 0), (1, 2), (2, 2), (3, 2), (6, 3), (5, 1), (1, 3), (4, 2), (2, 3), (5, 2), (3, 3), (4, 3), (6, 4), (4, 4), (6, 5), (1, 4), (2, 4), (3, 4), (5, 3), (1, 5), (4, 5), (2, 5), (5, 4), (3, 5), (5, 5)]",66
36,True,55,"{1: [5, 9, 25, 34, 42, 49], 2: [0, 8, 15, 28, 38, 48], 3: [0, 5, 11, 19, 31, 42], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (5, 0), (6, 0), (4, 1), (2, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (1, 2), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (3, 4), (1, 3), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",66
37,True,55,"{1: [1, 8, 16, 31, 38, 42], 2: [0, 8, 15, 28, 38, 48], 3: [2, 7, 11, 19, 35, 48], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 41, 48, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (1, 0), (3, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (5, 0), (6, 0), (4, 1), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (3, 4), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (4, 5), (2, 5), (3, 5), (5, 4), (5, 5)]",76
38,True,56,"{1: [5, 10, 16, 27, 38, 50], 2: [0, 8, 14, 28, 38, 48], 3: [0, 6, 10, 18, 30, 31], 4: [8, 13, 23, 34, 38, 46], 5: [14, 23, 26, 41, 48, 52], 6: [13, 16, 19, 28, 46, 50]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (4, 1), (6, 0), (2, 2), (5, 0), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (1, 3), (2, 3), (6, 3), (3, 4), (3, 5), (4, 3), (1, 4), (2, 4), (4, 4), (5, 3), (4, 5), (6, 4), (2, 5), (5, 4), (1, 5), (6, 5), (5, 5)]",76
39,True,58,"{1: [12, 16, 23, 31, 38, 45], 2: [5, 13, 18, 28, 38, 48], 3: [1, 6, 10, 19, 47, 51], 4: [0, 7, 18, 23, 28, 45], 5: [23, 32, 36, 41, 49, 52], 6: [13, 16, 19, 28, 41, 45]}","[(4, 0), (3, 0), (2, 0), (3, 1), (4, 1), (3, 2), (1, 0), (2, 1), (6, 0), (1, 1), (6, 1), (2, 2), (4, 2), (3, 3), (6, 2), (1, 2), (4, 3), (5, 0), (2, 3), (4, 4), (6, 3), (1, 3), (5, 1), (5, 2), (1, 4), (2, 4), (5, 3), (6, 4), (1, 5), (4, 5), (6, 5), (3, 4), (2, 5), (5, 4), (3, 5), (5, 5)]",75
40,True,55,"{1: [7, 10, 28, 34, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 7, 11, 19, 41, 42], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (1, 2), (2, 3), (6, 3), (4, 4), (1, 3), (2, 4), (5, 3), (6, 4), (3, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",85
41,True,55,"{1: [7, 9, 16, 32, 40, 49], 2: [0, 8, 13, 26, 40, 50], 3: [0, 5, 9, 21, 32, 38], 4: [11, 16, 22, 27, 30, 43], 5: [13, 22, 25, 36, 51, 54], 6: [8, 14, 17, 30, 45, 49]}","[(2, 0), (3, 0), (3, 1), (1, 0), (2, 1), (6, 0), (1, 1), (3, 2), (4, 0), (2, 2), (5, 0), (6, 1), (1, 2), (4, 1), (6, 2), (3, 3), (4, 2), (5, 1), (5, 2), (2, 3), (4, 3), (4, 4), (6, 3), (1, 3), (3, 4), (5, 3), (3, 5), (1, 4), (2, 4), (4, 5), (6, 4), (1, 5), (6, 5), (2, 5), (5, 4), (5, 5)]",72
42,True,57,"{1: [6, 7, 16, 30, 37, 44], 2: [0, 8, 15, 27, 40, 50], 3: [0, 5, 10, 21, 47, 50], 4: [11, 16, 22, 27, 32, 44], 5: [13, 22, 26, 40, 51, 54], 6: [8, 15, 18, 30, 40, 44]}","[(2, 0), (3, 0), (3, 1), (1, 0), (1, 1), (2, 1), (6, 0), (3, 2), (4, 0), (5, 0), (2, 2), (6, 1), (1, 2), (4, 1), (6, 2), (3, 3), (4, 2), (5, 1), (5, 2), (2, 3), (4, 3), (1, 3), (6, 3), (4, 4), (1, 4), (2, 4), (5, 3), (6, 4), (1, 5), (4, 5), (6, 5), (3, 4), (2, 5), (3, 5), (5, 4), (5, 5)]",75
43,True,57,"{1: [0, 8, 20, 31, 38, 44], 2: [0, 9, 14, 28, 38, 48], 3: [1, 7, 11, 19, 31, 50], 4: [8, 13, 18, 23, 26, 45], 5: [23, 32, 35, 41, 49, 52], 6: [13, 16, 19, 28, 40, 44]}","[(1, 0), (2, 0), (3, 0), (3, 1), (1, 1), (4, 0), (2, 1), (3, 2), (4, 1), (6, 0), (2, 2), (6, 1), (4, 2), (3, 3), (6, 2), (1, 2), (4, 3), (5, 0), (4, 4), (2, 3), (6, 3), (1, 3), (3, 4), (5, 1), (5, 2), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (4, 5), (2, 5), (5, 4), (3, 5), (5, 5)]",75
44,True,58,"{1: [1, 12, 17, 24, 36, 52], 2: [3, 11, 16, 26, 40, 50], 3: [2, 7, 18, 31, 41, 45], 4: [11, 16, 28, 34, 37, 45], 5: [16, 25, 28, 41, 50, 54], 6: [0, 3, 8, 21, 33, 37]}","[(6, 0), (1, 0), (3, 0), (2, 0), (6, 1), (3, 1), (6, 2), (2, 1), (4, 0), (1, 1), (2, 2), (4, 1), (5, 0), (1, 2), (3, 2), (6, 3), (1, 3), (5, 1), (2, 3), (4, 2), (5, 2), (3, 3), (6, 4), (4, 3), (1, 4), (4, 4), (6, 5), (2, 4), (3, 4), (5, 3), (3, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",67
45,True,55,"{1: [7, 8, 16, 31, 38, 42], 2: [0, 8, 15, 28, 38, 48], 3: [0, 6, 11, 19, 43, 48], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 41, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (3, 1), (1, 0), (1, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (3, 4), (4, 5), (2, 5), (3, 5), (5, 4), (5, 5)]",90
46,True,55,"{1: [0, 6, 16, 33, 42, 49], 2: [0, 8, 13, 28, 38, 48], 3: [1, 7, 11, 19, 34, 38], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 45, 49]}","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (2, 1), (4, 0), (3, 2), (2, 2), (5, 0), (6, 0), (4, 1), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (3, 4), (2, 4), (3, 5), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (1, 5), (5, 4), (6, 5), (5, 5)]",72
47,True,57,"{1: [5, 10, 17, 30, 37, 44], 2: [0, 8, 14, 27, 40, 50], 3: [0, 6, 10, 21, 44, 50], 4: [11, 16, 22, 27, 31, 44], 5: [13, 23, 26, 40, 50, 54], 6: [8, 11, 18, 30, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (6, 0), (1, 1), (3, 2), (4, 0), (6, 1), (5, 0), (2, 2), (4, 1), (1, 2), (6, 2), (3, 3), (4, 2), (5, 1), (5, 2), (2, 3), (4, 3), (1, 3), (6, 3), (4, 4), (1, 4), (2, 4), (5, 3), (6, 4), (1, 5), (3, 4), (4, 5), (6, 5), (2, 5), (3, 5), (5, 4), (5, 5)]",69
48,True,55,"{1: [0, 3, 25, 35, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [1, 6, 11, 19, 35, 42], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (1, 2), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (3, 4), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",79
49,True,55,"{1: [0, 8, 16, 23, 42, 49], 2: [0, 8, 15, 28, 38, 48], 3: [1, 6, 11, 19, 29, 30], 4: [8, 13, 27, 34, 37, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 45, 49]}","[(1, 0), (2, 0), (3, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (5, 1), (1, 3), (5, 2), (4, 2), (2, 3), (6, 3), (3, 4), (3, 5), (4, 3), (4, 4), (2, 4), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (5, 4), (1, 5), (6, 5), (5, 5)]",87
50,True,57,"{1: [6, 7, 16, 30, 40, 51], 2: [0, 8, 13, 26, 40, 50], 3: [0, 5, 9, 21, 31, 44], 4: [11, 16, 22, 27, 32, 43], 5: [13, 22, 27, 36, 51, 54], 6: [8, 14, 17, 30, 40, 44]}","[(2, 0), (3, 0), (3, 1), (1, 0), (1, 1), (2, 1), (6, 0), (3, 2), (4, 0), (2, 2), (5, 0), (6, 1), (1, 2), (4, 1), (6, 2), (3, 3), (4, 2), (5, 1), (2, 3), (4, 3), (5, 2), (1, 3), (6, 3), (3, 4), (4, 4), (5, 3), (1, 4), (2, 4), (6, 4), (4, 5), (3, 5), (6, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",82
51,True,57,"{1: [0, 5, 17, 29, 38, 44], 2: [0, 11, 16, 28, 38, 48], 3: [2, 7, 11, 19, 41, 50], 4: [8, 13, 18, 23, 27, 45], 5: [23, 32, 35, 41, 48, 52], 6: [13, 16, 19, 28, 40, 44]}","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (4, 0), (2, 1), (3, 2), (4, 1), (6, 0), (2, 2), (6, 1), (1, 2), (4, 2), (3, 3), (6, 2), (4, 3), (5, 0), (4, 4), (2, 3), (6, 3), (1, 3), (5, 1), (5, 2), (1, 4), (2, 4), (6, 4), (3, 4), (5, 3), (1, 5), (6, 5), (4, 5), (2, 5), (5, 4), (3, 5), (5, 5)]",62
52,True,56,"{1: [0, 7, 16, 25, 42, 45], 2: [0, 8, 15, 28, 38, 48], 3: [2, 7, 11, 19, 29, 30], 4: [8, 13, 26, 33, 37, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 51, 55]}","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (5, 1), (1, 3), (5, 2), (4, 2), (2, 3), (6, 3), (3, 4), (3, 5), (4, 3), (4, 4), (2, 4), (5, 3), (1, 4), (1, 5), (4, 5), (2, 5), (5, 4), (6, 4), (5, 5), (6, 5)]",74
53,True,56,"{1: [0, 1, 16, 23, 39, 50], 2: [0, 8, 15, 29, 40, 50], 3: [1, 6, 12, 21, 30, 31], 4: [11, 16, 24, 35, 38, 46], 5: [13, 23, 26, 42, 51, 54], 6: [8, 13, 20, 30, 46, 50]}","[(1, 0), (2, 0), (1, 1), (3, 0), (3, 1), (2, 1), (6, 0), (4, 0), (3, 2), (5, 0), (6, 1), (2, 2), (1, 2), (4, 1), (6, 2), (3, 3), (1, 3), (5, 1), (4, 2), (5, 2), (2, 3), (3, 4), (6, 3), (3, 5), (4, 3), (4, 4), (1, 4), (2, 4), (5, 3), (4, 5), (6, 4), (1, 5), (2, 5), (6, 5), (5, 4), (5, 5)]",86
54,True,55,"{1: [5, 6, 25, 33, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 5, 9, 19, 34, 42], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (5, 0), (6, 0), (2, 2), (4, 1), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (1, 2), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (3, 4), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",94
55,True,55,"{1: [1, 4, 16, 30, 38, 49], 2: [0, 8, 15, 28, 38, 48], 3: [2, 7, 11, 19, 36, 38], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 41, 49, 52], 6: [13, 16, 19, 28, 45, 49]}","[(2, 0), (1, 0), (3, 0), (1, 1), (3, 1), (2, 1), (4, 0), (3, 2), (5, 0), (6, 0), (4, 1), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (1, 3), (4, 4), (3, 4), (1, 4), (2, 4), (3, 5), (5, 3), (4, 5), (6, 4), (2, 5), (1, 5), (5, 4), (6, 5), (5, 5)]",86
56,True,59,"{1: [0, 11, 20, 27, 38, 46], 2: [3, 11, 17, 28, 39, 49], 3: [1, 9, 17, 30, 44, 52], 4: [15, 25, 30, 35, 38, 46], 5: [16, 28, 33, 42, 49, 53], 6: [0, 3, 6, 15, 27, 35]}","[(1, 0), (6, 0), (3, 0), (2, 0), (6, 1), (6, 2), (3, 1), (1, 1), (2, 1), (4, 0), (6, 3), (5, 0), (2, 2), (3, 2), (1, 2), (4, 1), (1, 3), (6, 4), (2, 3), (5, 1), (3, 3), (4, 2), (5, 2), (4, 3), (6, 5), (1, 4), (4, 4), (2, 4), (5, 3), (3, 4), (1, 5), (4, 5), (2, 5), (5, 4), (3, 5), (5, 5)]",83
57,True,59,"{1: [0, 7, 12, 25, 43, 46], 2: [3, 11, 16, 29, 39, 49], 3: [6, 11, 21, 30, 51, 52], 4: [18, 25, 30, 35, 38, 46], 5: [16, 26, 32, 39, 50, 53], 6: [0, 3, 6, 15, 26, 35]}","[(1, 0), (6, 0), (2, 0), (6, 1), (3, 0), (6, 2), (1, 1), (2, 1), (3, 1), (1, 2), (6, 3), (2, 2), (5, 0), (4, 0), (3, 2), (1, 3), (4, 1), (5, 1), (6, 4), (2, 3), (3, 3), (4, 2), (5, 2), (4, 3), (6, 5), (4, 4), (2, 4), (5, 3), (1, 4), (1, 5), (4, 5), (2, 5), (5, 4), (3, 4), (3, 5), (5, 5)]",87
58,True,57,"{1: [5, 7, 25, 34, 44, 51], 2: [0, 10, 15, 28, 38, 48], 3: [0, 5, 11, 19, 35, 44], 4: [8, 13, 18, 24, 27, 47], 5: [23, 32, 35, 40, 48, 52], 6: [13, 16, 19, 28, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (4, 0), (2, 1), (3, 2), (4, 1), (6, 0), (2, 2), (6, 1), (4, 2), (3, 3), (6, 2), (5, 0), (4, 3), (1, 2), (4, 4), (2, 3), (6, 3), (5, 1), (1, 3), (3, 4), (5, 2), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",93
59,True,58,"{1: [2, 4, 18, 25, 38, 52], 2: [3, 11, 16, 26, 40, 50], 3: [5, 10, 16, 31, 42, 45], 4: [11, 16, 28, 34, 37, 45], 5: [16, 25, 28, 41, 51, 54], 6: [0, 3, 7, 21, 33, 37]}","[(6, 0), (1, 0), (2, 0), (6, 1), (1, 1), (3, 0), (6, 2), (3, 1), (2, 1), (4, 0), (2, 2), (3, 2), (4, 1), (5, 0), (1, 2), (6, 3), (1, 3), (5, 1), (2, 3), (4, 2), (5, 2), (3, 3), (6, 4), (4, 3), (4, 4), (6, 5), (1, 4), (2, 4), (5, 3), (3, 4), (3, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",73
60,True,55,"{1: [0, 9, 16, 27, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [1, 6, 10, 18, 28, 30], 4: [8, 13, 28, 34, 37, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 45, 49]}","[(1, 0), (2, 0), (3, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (5, 1), (5, 2), (1, 3), (2, 3), (3, 4), (4, 2), (6, 3), (3, 5), (4, 3), (4, 4), (2, 4), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (5, 4), (1, 5), (6, 5), (5, 5)]",70
61,True,55,"{1: [6, 7, 28, 35, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 6, 10, 18, 34, 42], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (1, 2), (2, 3), (6, 3), (4, 4), (3, 4), (1, 3), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",75
62,True,58,"{1: [0, 5, 16, 34, 42, 45], 2: [0, 8, 13, 23, 33, 43], 3: [1, 7, 11, 20, 29, 30], 4: [8, 14, 24, 31, 37, 49], 5: [13, 22, 25, 45, 53, 56], 6: [13, 25, 33, 43, 53, 57]}","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (2, 1), (4, 0), (3, 2), (2, 2), (5, 0), (6, 0), (4, 1), (1, 2), (3, 3), (5, 1), (2, 3), (4, 2), (5, 2), (6, 1), (3, 4), (3, 5), (4, 3), (2, 4), (6, 2), (1, 3), (4, 4), (1, 4), (2, 5), (6, 3), (1, 5), (5, 3), (4, 5), (5, 4), (6, 4), (5, 5), (6, 5)]",92
63,True,55,"{1: [0, 7, 29, 35, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [2, 7, 11, 19, 38, 42], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 38, 42]}","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (1, 2), (4, 4), (1, 3), (2, 4), (3, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",78
64,True,55,"{1: [7, 9, 16, 33, 42, 49], 2: [0, 8, 15, 28, 38, 48], 3: [0, 7, 11, 19, 31, 42], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (5, 0), (6, 0), (4, 1), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (3, 4), (1, 3), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",71
65,True,56,"{1: [6, 7, 17, 25, 38, 50], 2: [0, 8, 16, 28, 40, 50], 3: [0, 5, 10, 21, 30, 31], 4: [11, 16, 27, 32, 38, 46], 5: [13, 23, 26, 41, 51, 54], 6: [8, 13, 19, 30, 46, 50]}","[(2, 0), (3, 0), (3, 1), (1, 0), (1, 1), (2, 1), (6, 0), (3, 2), (4, 0), (5, 0), (6, 1), (2, 2), (4, 1), (1, 2), (6, 2), (3, 3), (5, 1), (1, 3), (5, 2), (4, 2), (2, 3), (3, 4), (6, 3), (3, 5), (4, 3), (1, 4), (4, 4), (2, 4), (5, 3), (4, 5), (6, 4), (1, 5), (2, 5), (6, 5), (5, 4), (5, 5)]",79
66,True,56,"{1: [5, 6, 16, 31, 43, 50], 2: [0, 8, 14, 27, 40, 50], 3: [0, 5, 10, 21, 30, 31], 4: [11, 16, 23, 28, 38, 46], 5: [14, 23, 26, 39, 50, 54], 6: [8, 12, 18, 30, 46, 50]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (6, 0), (3, 2), (4, 0), (6, 1), (2, 2), (5, 0), (1, 2), (4, 1), (6, 2), (3, 3), (4, 2), (5, 1), (5, 2), (2, 3), (4, 3), (3, 4), (6, 3), (1, 3), (3, 5), (4, 4), (5, 3), (2, 4), (1, 4), (4, 5), (6, 4), (1, 5), (2, 5), (5, 4), (6, 5), (5, 5)]",79
67,True,58,"{1: [6, 13, 21, 30, 38, 52], 2: [5, 13, 18, 28, 38, 48], 3: [0, 5, 9, 18, 42, 45], 4: [0, 8, 18, 25, 28, 45], 5: [24, 33, 36, 41, 49, 52], 6: [13, 16, 19, 28, 41, 45]}","[(3, 0), (4, 0), (2, 0), (3, 1), (1, 0), (4, 1), (3, 2), (1, 1), (2, 1), (6, 0), (6, 1), (2, 2), (3, 3), (4, 2), (6, 2), (1, 2), (5, 0), (4, 3), (2, 3), (4, 4), (6, 3), (1, 3), (5, 1), (5, 2), (1, 4), (2, 4), (5, 3), (6, 4), (3, 4), (3, 5), (4, 5), (6, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",71
68,True,55,"{1: [7, 10, 27, 33, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 5, 10, 19, 33, 38], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 45, 49]}","[(2, 0), (3, 0), (3, 1), (1, 0), (2, 1), (4, 0), (1, 1), (3, 2), (5, 0), (6, 0), (2, 2), (4, 1), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (1, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (3, 4), (2, 4), (3, 5), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (1, 5), (5, 4), (6, 5), (5, 5)]",74
