,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,is_squashed,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,chain_strength,chain_break_method,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,is_cut_out,window_size,window_start
21,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,244380.0,20.0,203.84,255202.1,1863.9,10822.1,20.54,3939.0,3939.0,1.0,7.0,13.0
22,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,238940.0,20.0,198.4,249738.9,1694.1,10798.9,20.54,696.0,696.0,1.0,7.0,0.0
23,,5,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.496,,1.2533770382450764,majority_vote,238940.0,20.0,198.4,249685.7,1631.3,10745.7,20.54,478.0,478.0,1.0,7.0,9.0
24,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,238940.0,20.0,198.4,249778.5,1694.5,10838.5,20.54,599.0,599.0,1.0,7.0,3.0
25,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,238940.0,20.0,198.4,249788.5,2239.5,10848.5,20.54,750.0,750.0,1.0,7.0,15.0
26,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,238940.0,20.0,198.4,249760.3,1805.7,10820.3,20.54,917.0,917.0,1.0,7.0,11.0
27,,5,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.496,,1.2533770382450764,majority_vote,238940.0,20.0,198.4,249714.9,2176.1,10774.9,20.54,473.0,473.0,1.0,7.0,7.0
28,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,238940.0,20.0,198.4,249777.3,1975.7,10837.3,20.54,587.0,587.0,1.0,7.0,10.0
29,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,238940.0,20.0,198.4,249754.9,1712.1,10814.9,20.54,997.0,997.0,1.0,7.0,8.0
30,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,243420.0,20.0,202.88,254222.7,1668.3,10802.7,20.54,590.0,590.0,1.0,7.0,14.0
31,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,244380.0,20.0,203.84,255208.7,2264.3,10828.7,20.54,888.0,888.0,1.0,7.0,6.0
32,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,238940.0,20.0,198.4,249766.1,1968.9,10826.1,20.54,573.0,573.0,1.0,7.0,16.0
33,,6,False,pyqubo,1000,0,0,4,6,,3,2.0,True,0,2.0832,,1.4402684992736596,majority_vote,238940.0,20.0,198.4,249736.1,2068.9,10796.1,20.54,631.0,631.0,1.0,7.0,1.0
34,,6,False,pyqubo,1000,1,0,4,16,,1,1.0,True,0,1.5600000000000005,6.0,1.4066161375205863,majority_vote,243100.0,20.0,202.56,254100.3,2554.7,11000.3,20.54,914.0,914.0,1.0,7.0,0.0
35,,5,False,pyqubo,1000,0,0,4,13,,1,1.0,True,0,2.16,,1.3226758862245882,majority_vote,238940.0,20.0,198.4,249828.1,1699.9,10888.1,20.54,740.0,740.0,1.0,7.0,0.0
36,,10,False,pyqubo,1000,0,0,5,16,,2,1.3125,True,0,3.066358024691357,,2.1204165864282425,majority_vote,244440.0,20.0,203.9,255632.3,9230.7,11192.3,20.54,1433.0,3741.0,1.0,7.0,5.0
37,,9,False,pyqubo,1000,0,0,5,16,,2,1.3125,True,0,1.462962962962962,,1.9794839046417207,majority_vote,244440.0,20.0,203.9,255543.3,5665.7,11103.3,20.54,425.0,4826.0,1.0,7.0,0.0
38,,10,False,pyqubo,1000,1,0,5,16,,2,1.3125,True,0,1.4462448559670786,10.0,2.1204165864282425,majority_vote,244440.0,20.0,203.9,255611.5,7437.5,11171.5,20.54,422.0,2862.0,1.0,7.0,3.0
39,,10,False,pyqubo,1000,0,0,5,16,,2,1.3125,True,0,3.39201817558299,,2.1204165864282425,majority_vote,244440.0,20.0,203.9,255629.1,8757.9,11189.1,20.54,1307.0,3498.0,1.0,7.0,4.0
40,,8,False,pyqubo,1000,0,0,5,16,,2,1.3125,True,0,1.778034979423868,,1.8242154027461883,majority_vote,244440.0,20.0,203.9,255565.9,4162.1,11125.9,20.54,1575.0,1575.0,1.0,7.0,6.0
41,,8,False,pyqubo,1000,0,0,5,16,,2,1.3125,True,0,2.12062757201646,,1.8242154027461883,majority_vote,244380.0,20.0,203.84,255482.1,4879.9,11102.1,20.54,438.0,1810.0,1.0,7.0,2.0
42,,11,False,pyqubo,1000,1,0,5,16,,2,1.3125,True,0,1.7870370370370363,10.0,2.2450265217438594,majority_vote,244440.0,20.0,203.9,255677.9,7281.1,11237.9,20.54,771.0,4038.0,1.0,7.0,1.0
43,,10,False,pyqubo,1000,1,0,5,16,,2,1.3125,True,0,1.4552469135802468,9.0,2.088670270770377,majority_vote,244440.0,20.0,203.9,255589.3,7923.7,11149.3,20.54,2244.0,7267.0,1.0,7.0,5.0
44,,8,False,pyqubo,1000,0,0,5,16,,2,1.3125,True,0,2.0555555555555536,,1.7710826010409977,majority_vote,244440.0,20.0,203.9,255531.3,3912.7,11091.3,20.54,1661.0,1661.0,1.0,7.0,1.0
45,,9,False,pyqubo,1000,0,0,5,16,,2,1.3125,True,0,1.1311728395061742,,1.9377172333626465,majority_vote,244440.0,20.0,203.9,255568.3,7419.7,11128.3,20.54,931.0,2056.0,1.0,7.0,4.0
46,,9,False,pyqubo,1000,0,0,5,16,,2,1.3125,True,0,1.4552469135802468,,1.9377172333626465,majority_vote,244440.0,20.0,203.9,255618.1,6089.9,11178.1,20.54,421.0,2141.0,1.0,7.0,0.0
47,,8,False,pyqubo,1000,1,0,5,16,,2,1.3125,True,0,1.7330246913580236,7.0,1.7710826010409977,majority_vote,243420.0,20.0,202.88,254486.9,4993.1,11066.9,20.54,749.0,1741.0,1.0,7.0,6.0
48,,9,False,pyqubo,1000,1,0,5,16,,2,1.3125,True,0,0.4552469135802468,8.0,1.9377172333626465,majority_vote,244440.0,20.0,203.9,255512.9,7269.1,11072.9,20.54,755.0,2073.0,1.0,7.0,2.0
49,,9,False,pyqubo,1000,10,0,5,13,,2,1.3076923076923077,True,0,0.4012345679012341,8.0,1.83831822362298,majority_vote,244420.0,20.0,203.88,255466.9,4100.1,11046.9,20.54,1519.0,1519.0,1.0,7.0,3.0
50,,9,False,pyqubo,1000,0,0,6,12,,3,1.75,True,0,1.3798417326114123,,2.096689741424532,majority_vote,244440.0,20.0,203.9,255574.1,4607.9,11134.1,20.54,2001.0,2001.0,1.0,8.0,7.0
51,,11,False,pyqubo,1000,6,0,6,12,,3,1.75,True,0,1.0475142160154365,9.0,2.3666958165838072,majority_vote,244440.0,20.0,203.9,255646.7,7681.3,11206.7,20.54,1201.0,3433.0,1.0,8.0,16.0
52,,9,False,pyqubo,1000,0,0,6,12,,3,1.75,True,0,1.5723829842521884,,2.096689741424532,majority_vote,244440.0,20.0,203.9,255510.3,6219.7,11070.3,20.54,550.0,2155.0,1.0,8.0,11.0
53,,11,False,pyqubo,1000,2,0,6,12,,3,1.75,True,0,1.6531802720881943,10.0,2.3666958165838072,majority_vote,244440.0,20.0,203.9,255596.3,7160.7,11156.3,20.54,1588.0,9920.0,1.0,8.0,5.0
54,,9,False,pyqubo,1000,2,0,6,12,,3,1.75,True,0,1.6190277860415314,8.0,2.096689741424532,majority_vote,244440.0,20.0,203.9,255553.9,6445.1,11113.9,20.54,768.0,2200.0,1.0,8.0,14.0
55,,9,False,pyqubo,1000,1,0,6,12,,3,1.75,True,0,1.3391444041173308,8.0,2.096689741424532,majority_vote,244440.0,20.0,203.9,255506.3,6311.7,11066.3,20.54,626.0,2030.0,1.0,8.0,8.0
56,,9,False,pyqubo,1000,1,0,6,12,,3,1.75,True,0,1.9795918367346927,9.0,2.096689741424532,majority_vote,244380.0,20.0,203.84,255543.5,6448.5,11163.5,20.54,568.0,2228.0,1.0,8.0,12.0
57,,10,False,pyqubo,1000,7,0,6,12,,3,1.75,True,0,0.8638091757200286,9.0,2.2369720333025573,majority_vote,244440.0,20.0,203.9,255589.7,8324.3,11149.7,20.54,1167.0,4151.0,1.0,8.0,1.0
58,,7,False,pyqubo,1000,28,0,6,9,,3,1.8888888888888888,True,0,0.6540132087820556,6.0,1.7885842445912354,majority_vote,238940.0,20.0,198.4,249945.9,2894.1,11005.9,20.54,1876.0,1876.0,1.0,8.0,6.0
59,,8,False,pyqubo,1000,84,0,6,9,,3,1.8888888888888888,True,0,0.1284013099498153,6.0,1.9373940568406525,majority_vote,243740.0,20.0,203.2,254737.1,3275.9,10997.1,20.54,1787.0,1787.0,1.0,8.0,2.0
60,,8,False,pyqubo,1000,164,0,6,9,,3,1.8888888888888888,True,0,0.0942464449336579,6.0,1.9373940568406525,majority_vote,242780.0,20.0,202.24,253774.9,4143.1,10994.9,20.54,1269.0,1269.0,1.0,8.0,15.0
61,,9,False,pyqubo,1000,129,0,6,9,,3,1.8888888888888888,True,0,0.0541444535552919,7.0,2.055366210207932,majority_vote,244440.0,20.0,203.9,255431.9,6216.1,10991.9,20.54,1926.0,1926.0,1.0,8.0,4.0
62,,8,False,pyqubo,1000,230,0,6,9,,3,1.8888888888888888,True,0,0.0941444466166316,6.0,1.9373940568406525,majority_vote,244440.0,20.0,203.9,255452.1,4279.9,11012.1,20.54,1954.0,1954.0,1.0,8.0,13.0
63,,7,False,pyqubo,1000,40,0,6,9,,3,1.8888888888888888,True,0,0.6190277860415314,6.0,1.7885842445912354,majority_vote,244380.0,20.0,203.84,255366.9,2776.1,10986.9,20.54,1413.0,1413.0,1.0,8.0,10.0
64,,9,False,pyqubo,1000,183,0,6,9,,3,1.8888888888888888,True,0,0.0192776819182487,6.0,2.055366210207932,majority_vote,243460.0,20.0,202.92,254554.7,3946.3,11094.7,20.54,1629.0,1629.0,1.0,8.0,0.0
65,,6,False,pyqubo,1000,0,0,6,9,,3,1.8888888888888888,True,0,2.129112869637651,,1.6242204112879643,majority_vote,244100.0,20.0,203.56,255025.5,2950.5,10925.5,20.54,1140.0,1140.0,1.0,8.0,9.0
66,,8,False,pyqubo,1000,119,0,6,9,,3,1.8888888888888888,True,0,0.1285178794549892,6.0,1.9373940568406525,majority_vote,244380.0,20.0,203.84,255361.5,3124.5,10981.5,20.54,2466.0,2466.0,1.0,8.0,3.0
67,,9,False,pyqubo,1000,94,0,6,10,,3,1.8,True,0,0.0885345391801024,7.0,1.9908908476326623,majority_vote,243420.0,20.0,202.88,254447.5,4922.5,11027.5,20.54,283.0,1424.0,1.0,8.0,1.0
68,,6,False,pyqubo,1000,0,0,6,9,,3,1.7777777777777777,True,0,2.29832807758672,,1.5123451485969888,majority_vote,238940.0,20.0,198.4,249834.1,2635.9,10894.1,20.54,697.0,697.0,1.0,8.0,11.0
