,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,is_squashed,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,is_cut_out,window_size,window_start,chain_break_method,chain_strength,post_processing_overhead_time,qpu_access_overhead_time,qpu_access_time,qpu_anneal_time_per_sample,qpu_delay_time_per_sample,qpu_programming_time,qpu_readout_time_per_sample,qpu_sampling_time,total_post_processing_time
40,,40,False,discrete,12,12,0,6,18,,9,5.111111111111111,True,0,1.03505908319577e-09,29.0,True,30,20,,,,,,,,,,,
41,,38,False,discrete,23,23,0,6,18,,9,5.111111111111111,True,0,5.0717895076592724e-08,29.0,True,30,9,,,,,,,,,,,
42,,40,False,discrete,24,24,0,6,18,,9,5.111111111111111,True,0,1.03505908319577e-09,29.0,True,30,30,,,,,,,,,,,
43,,46,False,discrete,22,22,0,6,18,,9,5.111111111111111,True,0,8.797857042522844e-15,29.0,True,30,8,,,,,,,,,,,
44,,56,False,discrete,24,12,0,6,18,,9,5.111111111111111,True,0,3.11455855819879e-23,29.0,True,30,12,,,,,,,,,,,
45,,45,False,discrete,16,16,0,6,18,,9,5.111111111111111,True,0,6.158499929765989e-14,29.0,True,30,26,,,,,,,,,,,
46,,46,False,discrete,16,16,0,6,18,,9,5.111111111111111,True,0,8.797857042522844e-15,29.0,True,30,4,,,,,,,,,,,
47,,46,False,discrete,24,24,0,6,18,,9,5.111111111111111,True,0,8.797857042522844e-15,29.0,True,30,28,,,,,,,,,,,
48,,42,False,discrete,24,12,0,6,18,,9,5.111111111111111,True,0,2.1123654759097328e-11,29.0,True,30,0,,,,,,,,,,,
49,,48,False,discrete,22,22,0,6,18,,9,5.111111111111111,True,0,1.795481029086294e-16,29.0,True,30,7,,,,,,,,,,,
50,,40,False,discrete,24,24,0,6,18,,9,5.111111111111111,True,0,1.03505908319577e-09,29.0,True,30,1,,,,,,,,,,,
51,,42,False,discrete,24,24,0,6,18,,9,5.111111111111111,True,0,2.1123654759097328e-11,29.0,True,30,10,,,,,,,,,,,
52,,48,False,discrete,17,17,0,6,18,,9,5.111111111111111,True,0,7.5195474763107e-17,28.0,True,30,18,,,,,,,,,,,
53,,39,False,discrete,17,17,0,6,18,,9,5.111111111111111,True,0,7.245413582370389e-09,29.0,True,30,29,,,,,,,,,,,
54,,38,False,discrete,23,23,0,6,18,,9,5.111111111111111,True,0,5.0717895076592724e-08,29.0,True,30,2,,,,,,,,,,,
55,,31,False,discrete,23,18,0,6,18,,9,5.111111111111111,True,0,0.0417683674650624,29.0,True,30,21,,,,,,,,,,,
56,,41,False,discrete,25,25,0,6,18,,9,5.111111111111111,True,0,1.4786558331368138e-10,29.0,True,30,5,,,,,,,,,,,
57,,49,False,discrete,24,12,0,6,18,,9,5.111111111111111,True,0,2.5649728986947057e-17,29.0,True,30,16,,,,,,,,,,,
58,,39,False,discrete,12,12,0,6,18,,9,5.111111111111111,True,0,7.245413582370389e-09,29.0,True,30,11,,,,,,,,,,,
59,,52,False,discrete,12,12,0,6,18,,9,5.111111111111111,True,0,7.478055098235295e-20,29.0,True,30,6,,,,,,,,,,,
60,,43,False,discrete,24,24,0,6,18,,9,5.111111111111111,True,0,3.0176649655853347e-12,29.0,True,30,31,,,,,,,,,,,
61,,46,False,discrete,18,18,0,6,18,,9,5.111111111111111,True,0,8.797857042522844e-15,29.0,True,30,14,,,,,,,,,,,
62,,49,False,discrete,25,25,0,6,18,,9,5.111111111111111,True,0,2.5649728986947057e-17,29.0,True,30,27,,,,,,,,,,,
63,,36,False,discrete,18,18,0,6,18,,9,5.111111111111111,True,0,2.485176858753044e-06,29.0,True,30,22,,,,,,,,,,,
64,,39,False,discrete,16,16,0,6,18,,9,5.111111111111111,True,0,7.245413582370389e-09,29.0,True,30,3,,,,,,,,,,,
65,,48,False,discrete,24,24,0,6,18,,9,5.111111111111111,True,0,7.5195474763107e-17,28.0,True,30,23,,,,,,,,,,,
66,,50,False,discrete,23,23,0,6,25,,10,5.36,True,0,2.154612320079509e-11,37.0,True,40,4,,,,,,,,,,,
67,,60,False,discrete,24,14,0,6,25,,10,5.36,True,0,1.2537658262194058e-15,42.0,True,40,17,,,,,,,,,,,
68,,50,False,discrete,24,12,0,6,24,,10,5.458333333333333,True,0,9.039477668963417e-13,35.0,True,40,0,,,,,,,,,,,
69,,51,False,discrete,19,19,0,6,24,,10,5.458333333333333,True,0,1.291353952709059e-13,35.0,True,40,11,,,,,,,,,,,
70,,61,False,discrete,24,22,0,6,24,,10,5.458333333333333,True,0,4.57156496818969e-22,35.0,True,40,8,,,,,,,,,,,
71,,50,False,discrete,24,12,0,6,24,,10,5.458333333333333,True,0,9.039477668963417e-13,35.0,True,40,22,,,,,,,,,,,
72,,47,False,discrete,25,25,0,6,24,,10,5.458333333333333,True,0,3.100540840454451e-10,35.0,True,40,10,,,,,,,,,,,
73,,47,False,discrete,25,25,0,6,24,,10,5.458333333333333,True,0,3.100540840454451e-10,35.0,True,40,1,,,,,,,,,,,
74,,41,False,discrete,24,11,0,6,24,,10,5.458333333333333,True,0,3.6477552933862566e-05,35.0,True,40,3,,,,,,,,,,,
75,,47,False,discrete,23,23,0,6,24,,10,5.458333333333333,True,0,3.100540840454451e-10,35.0,True,40,19,,,,,,,,,,,
76,,55,False,discrete,21,21,0,6,24,,10,5.458333333333333,True,0,5.378400469425485e-17,35.0,True,40,21,,,,,,,,,,,
77,,48,False,discrete,24,12,0,6,24,,10,5.458333333333333,True,0,4.4293440577920726e-11,35.0,True,40,23,,,,,,,,,,,
78,,46,False,discrete,25,24,0,6,24,,10,5.458333333333333,True,0,2.1703785883181154e-09,35.0,True,40,14,,,,,,,,,,,
79,,52,False,discrete,23,23,0,6,24,,10,5.458333333333333,True,0,1.8447913610129416e-14,35.0,True,40,13,,,,,,,,,,,
80,,53,False,discrete,24,12,0,6,24,,10,5.458333333333333,True,0,2.6354162300184878e-15,35.0,True,40,2,,,,,,,,,,,
81,,45,False,discrete,24,12,0,6,24,,10,5.458333333333333,True,0,1.519265011822681e-08,35.0,True,40,16,,,,,,,,,,,
82,,50,False,discrete,24,12,0,6,24,,10,5.458333333333333,True,0,9.039477668963417e-13,35.0,True,40,6,,,,,,,,,,,
83,,45,False,discrete,23,21,0,6,24,,10,5.458333333333333,True,0,1.519265011822681e-08,35.0,True,40,15,,,,,,,,,,,
84,,50,False,discrete,20,18,0,6,24,,10,5.458333333333333,True,0,9.039477668963417e-13,35.0,True,40,12,,,,,,,,,,,
85,,49,False,discrete,23,23,0,6,24,,10,5.458333333333333,True,0,6.3276343682743886e-12,35.0,True,40,9,,,,,,,,,,,
86,,49,False,discrete,22,22,0,6,24,,10,5.458333333333333,True,0,6.327634368274389e-12,35.0,True,40,18,,,,,,,,,,,
87,,53,False,discrete,24,12,0,6,24,,10,5.458333333333333,True,0,2.635416230018488e-15,35.0,True,40,20,,,,,,,,,,,
88,,53,False,discrete,19,19,0,6,24,,10,5.458333333333333,True,0,2.6354162300184878e-15,35.0,True,40,7,,,,,,,,,,,
89,,57,False,discrete,24,12,0,6,24,,10,5.458333333333333,True,0,1.0976327488623442e-18,35.0,True,40,5,,,,,,,,,,,
90,,46,False,discrete,24,12,0,6,25,,10,5.32,True,0,5.074183862504443e-08,37.0,True,40,22,,,,,,,,,,,
91,,48,False,discrete,24,15,0,6,25,,10,5.4,True,0,2.029260873429357e-09,37.0,True,40,4,,,,,,,,,,,
92,,51,False,discrete,24,12,0,6,24,,10,5.416666666666667,True,0,5.967771413520496e-12,37.0,True,40,17,,,,,,,,,,,
93,,50,False,discrete,24,24,0,6,24,,10,5.416666666666667,True,0,4.135330594186672e-11,37.0,True,40,23,,,,,,,,,,,
94,,51,False,discrete,22,22,0,6,24,,10,5.416666666666667,True,0,5.9076151345523886e-12,37.0,True,40,1,,,,,,,,,,,
95,,54,False,discrete,24,11,0,6,29,,10,5.413793103448276,True,0,5.05763413581174e-08,45.0,True,50,11,,,,,,,,,,,
96,,70,False,discrete,23,22,0,6,29,,10,5.413793103448276,True,0,1.5224953883625325e-21,45.0,True,50,4,,,,,,,,,,,
97,,70,False,discrete,24,21,0,6,29,,10,5.413793103448276,True,0,1.522408428556509e-21,45.0,True,50,2,,,,,,,,,,,
98,,56,False,discrete,24,13,0,6,29,,10,5.413793103448276,True,0,1.032177600933536e-09,45.0,True,50,8,,,,,,,,,,,
99,,58,False,discrete,24,20,0,6,29,,10,5.413793103448276,True,0,2.1073295932523844e-11,45.0,True,50,6,,,,,,,,,,,
100,,66,False,discrete,25,25,0,6,29,,10,5.413793103448276,True,0,3.654020079466552e-18,45.0,True,50,9,,,,,,,,,,,
101,,76,False,discrete,24,20,0,6,29,,10,5.413793103448276,True,0,1.293571770412548e-26,45.0,True,50,1,,,,,,,,,,,
102,,60,False,discrete,25,25,0,6,29,,10,5.413793103448276,True,0,4.300426999361986e-13,45.0,True,50,12,,,,,,,,,,,
103,,53,False,discrete,24,9,0,6,29,,10,5.413793103448276,True,0,3.541611914442608e-07,45.0,True,50,0,,,,,,,,,,,
104,,64,False,discrete,24,23,0,6,29,,10,5.413793103448276,True,0,1.7904698389386106e-16,45.0,True,50,3,,,,,,,,,,,
105,,79,False,discrete,24,12,0,6,29,,10,5.413793103448276,True,0,3.7713462694243376e-29,45.0,True,50,5,,,,,,,,,,,
106,,57,False,discrete,24,12,0,6,29,,10,5.413793103448276,True,0,1.4745289025690203e-10,45.0,True,50,7,,,,,,,,,,,
107,,76,False,discrete,12,12,0,6,29,,10,5.413793103448276,True,0,1.2940350796603674e-26,45.0,True,50,10,,,,,,,,,,,
108,,63,False,discrete,25,25,0,6,28,,10,5.5,True,0,1.791200599454636e-16,44.0,True,50,1,,,,,,,,,,,
109,,66,False,discrete,24,12,0,6,29,,10,5.413793103448276,True,0,7.163161828062608e-18,45.0,True,50,10,,,,,,,,,,,
110,,60,False,discrete,24,18,0,6,29,,10,5.413793103448276,True,0,4.300457795698109e-13,45.0,True,50,5,,,,,,,,,,,
111,,67,False,discrete,25,25,0,6,29,,10,5.413793103448276,True,0,5.2218983048828185e-19,45.0,True,50,8,,,,,,,,,,,
112,,68,False,discrete,25,24,0,6,29,,10,5.413793103448276,True,0,5.1308893213667125e-19,46.0,True,50,9,,,,,,,,,,,
113,,57,False,discrete,24,11,0,6,29,,10,5.413793103448276,True,0,1.4745289025690203e-10,45.0,True,50,7,,,,,,,,,,,
114,,52,False,discrete,24,7,0,6,29,,10,5.413793103448276,True,0,2.479128340109825e-06,45.0,True,50,6,,,,,,,,,,,
115,,60,False,discrete,23,23,0,6,29,,10,5.413793103448276,True,0,4.298918083291605e-13,45.0,True,50,0,,,,,,,,,,,
116,,65,False,discrete,24,15,0,6,29,,10,5.413793103448276,True,0,2.558857999220909e-17,45.0,True,50,11,,,,,,,,,,,
117,,67,False,discrete,27,20,0,6,29,,10,5.413793103448276,True,0,5.2218983048828185e-19,45.0,True,50,2,,,,,,,,,,,
118,,70,False,discrete,23,23,0,6,29,,10,5.413793103448276,True,0,1.5224953883625325e-21,45.0,True,50,3,,,,,,,,,,,
119,,60,False,discrete,16,16,0,6,29,,10,5.413793103448276,True,0,4.298918083291605e-13,45.0,True,50,4,,,,,,,,,,,
120,,61,False,discrete,24,12,0,6,29,,10,5.413793103448276,True,0,6.143511136711585e-14,45.0,True,50,1,,,,,,,,,,,
121,,64,False,discrete,19,19,0,6,29,,10,5.413793103448276,True,0,1.7911111185748055e-16,45.0,True,50,12,,,,,,,,,,,
122,,65,False,discrete,21,21,0,6,28,,10,5.5,True,0,3.6553288134179714e-18,44.0,True,50,3,,,,,,,,,,,
