,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,chain_break_method,chain_strength,post_processing_overhead_time,qpu_access_overhead_time,qpu_access_time,qpu_anneal_time_per_sample,qpu_delay_time_per_sample,qpu_programming_time,qpu_readout_time_per_sample,qpu_sampling_time,total_post_processing_time,is_cut_out,window_size,window_start,is_squashed
34,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1805.0,2025.0,249620.0,20.0,21.0,10680.0,198.0,238940.0,1805.0,1.0,5.0,41.0,
35,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1344.0,1633.0,249620.0,20.0,21.0,10680.0,198.0,238940.0,1344.0,1.0,5.0,49.0,
36,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,167.0,1356.0,249631.0,20.0,21.0,10691.0,198.0,238940.0,167.0,1.0,5.0,35.0,
37,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,400.0,1124.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,400.0,1.0,5.0,10.0,
38,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1717.0,1581.0,249631.0,20.0,21.0,10691.0,198.0,238940.0,1717.0,1.0,5.0,5.0,
39,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,473.0,1302.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,473.0,1.0,5.0,22.0,
40,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1919.0,1122.0,253841.0,20.0,21.0,10681.0,203.0,243160.0,1919.0,1.0,5.0,48.0,
41,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,729.0,1130.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,729.0,1.0,5.0,31.0,
42,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,545.0,2181.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,545.0,1.0,5.0,11.0,
43,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,366.0,1378.0,249630.0,20.0,21.0,10690.0,198.0,238940.0,366.0,1.0,5.0,17.0,
44,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,211.0,2193.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,211.0,1.0,5.0,51.0,
45,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,979.0,1319.0,249630.0,20.0,21.0,10690.0,198.0,238940.0,979.0,1.0,5.0,43.0,
46,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,360.0,1376.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,360.0,1.0,5.0,46.0,
47,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,692.0,1479.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,692.0,1.0,5.0,25.0,
48,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,432.0,2204.0,249620.0,20.0,21.0,10680.0,198.0,238940.0,432.0,1.0,5.0,20.0,
49,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,712.0,1418.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,712.0,1.0,5.0,42.0,
50,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,453.0,1230.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,453.0,1.0,5.0,9.0,
