5,900,998,1000,3,4,10,44,36
5,834,1000,1000,12,16,25,38,74
5,824,1000,1000,11,21,37,58,47
5,822,995,1000,2,12,32,97,32
5,816,999,1000,17,18,65,49,29
5,846,997,1000,4,10,26,71,41
5,769,996,1000,12,5,27,88,94
5,721,998,1000,10,30,76,101,59
5,760,998,1000,9,18,33,81,96
5,789,995,1000,11,26,27,76,66
6,760,999,1000,5,20,32,111,69
6,750,999,1000,12,15,42,129,50
6,818,999,1000,3,25,39,86,22
6,810,999,1000,4,34,55,38,54
6,820,1000,1000,10,22,44,73,26
6,682,994,1000,1,17,34,157,106
6,720,998,1000,11,18,74,128,45
6,829,999,1000,6,6,28,37,94
6,709,998,1000,24,34,60,84,86
6,731,1000,1000,7,16,36,162,44
7,658,999,1000,10,24,70,153,79
7,673,999,1000,19,38,76,99,92
7,605,999,1000,7,30,53,134,167
7,638,999,1000,4,4,30,246,76
7,624,996,1000,7,31,33,172,129
7,663,998,1000,12,18,47,124,136
7,668,999,1000,5,24,47,110,146
7,670,997,1000,13,24,76,140,73
7,628,1000,1000,20,37,77,133,99
7,747,1000,1000,17,18,43,96,75
8,680,1000,1000,13,26,36,118,118
8,620,1000,1000,8,21,87,147,111
8,674,999,1000,9,11,45,161,98
8,657,998,1000,5,22,65,160,83
8,630,1000,1000,13,16,71,195,71
8,682,999,1000,7,31,72,110,95
8,704,1000,1000,15,24,57,70,125
8,675,1000,1000,7,44,86,91,85
8,704,998,1000,3,29,58,122,82
8,741,1000,1000,6,19,55,68,105
9,526,1000,1000,5,24,17,143,285
9,645,999,1000,2,24,95,162,71
9,681,999,1000,2,28,28,108,145
9,538,998,1000,6,15,33,201,206
9,537,1000,1000,20,38,115,183,100
9,596,1000,1000,7,21,62,154,153
9,594,999,1000,2,28,82,234,60
9,596,999,1000,11,30,110,170,81
9,616,1000,1000,10,20,41,112,194
9,639,999,1000,14,23,53,204,58
10,662,1000,1000,7,44,50,158,73
10,542,1000,1000,26,42,69,179,136
10,539,999,1000,5,15,36,244,159
10,598,1000,1000,15,34,47,180,122
10,570,1000,1000,15,18,128,168,99
10,613,999,1000,5,36,71,139,129
10,537,1000,1000,19,26,60,135,220
10,620,999,1000,12,27,110,140,88
10,630,999,1000,8,18,75,182,83
10,568,996,1000,6,10,77,257,78
11,540,999,1000,7,19,68,160,205
11,493,998,1000,7,13,73,298,115
11,528,998,1000,3,10,73,242,142
11,605,1000,1000,14,36,101,156,88
