chain strength,not found,correct,num of reads,5,6,7,8,9
6,822,3,1000,11,3,35,50,78
6,773,1,1000,10,33,55,68,48
7,740,1,1000,2,12,28,35,177
7,704,7,1000,4,12,74,141,64
7,766,3,1000,5,12,43,120,43
7,769,0,1000,5,8,32,119,65
7,717,1,1000,15,21,52,135,55
7,794,0,1000,4,6,59,81,53
7,757,0,1000,14,17,37,88,75
7,731,2,1000,3,21,56,144,43
7,738,1,1000,4,8,20,114,115
7,815,0,1000,12,12,23,68,66
8,676,0,1000,27,20,62,139,66
8,684,3,1000,14,45,35,120,100
8,695,0,1000,10,20,51,93,125
8,774,2,1000,9,18,29,24,138
8,697,0,1000,16,26,51,142,66
8,769,0,1000,4,16,52,119,38
8,683,2,1000,7,6,65,131,101
8,826,0,1000,6,9,31,62,64
8,661,1,1000,5,17,54,147,111
8,750,1,1000,3,18,23,134,63
9,609,3,1000,13,36,77,124,123
9,689,2,1000,6,63,69,114,57
9,628,0,1000,4,19,93,215,36
9,680,1,1000,4,25,96,127,67
9,716,0,1000,7,23,49,123,74
9,627,1,1000,17,16,109,175,53
9,648,1,1000,16,15,27,105,187
9,569,0,1000,5,29,51,209,134
9,564,0,1000,19,43,41,202,128
9,656,0,1000,10,22,56,193,51
10,593,1,1000,8,12,48,129,208
10,683,1,1000,6,10,91,129,79
10,622,0,1000,7,12,38,240,79
10,628,2,1000,12,18,105,170,65
10,662,0,1000,10,27,56,172,66
10,619,1,1000,12,33,71,188,70
10,597,0,1000,5,24,67,217,89
10,622,2,1000,26,26,61,172,90
10,619,0,1000,6,25,34,205,109
10,645,0,1000,11,15,134,170,18
10,578,0,1000,1,15,190,126,85
11,522,0,1000,11,15,53,265,133
11,522,1,1000,6,15,68,177,208
11,587,0,1000,6,19,71,126,188
11,579,3,1000,6,18,43,170,182
11,699,2,1000,7,45,89,150,9
11,630,0,1000,38,22,52,113,135
11,618,1,1000,2,25,76,115,155
11,579,0,1000,13,37,46,215,106
11,583,3,1000,5,31,39,147,193
11,631,0,1000,9,25,77,139,114
12,554,0,1000,25,44,166,152,52
12,474,1,1000,7,27,116,244,128
12,564,0,1000,16,25,89,159,141
12,566,0,1000,9,20,50,235,118
12,461,0,1000,10,21,93,212,192
12,511,3,1000,4,13,66,156,250
13,496,0,1000,19,39,100,212,132
13,445,1,1000,19,42,115,240,137
13,527,1,1000,5,27,78,159,203
13,481,0,1000,13,41,119,193,150
13,490,1,1000,3,38,113,210,138
13,476,1,1000,7,64,79,249,118
13,480,0,1000,7,18,47,368,76
13,502,0,1000,7,30,90,241,125
13,572,0,1000,10,40,43,127,205
13,572,0,1000,26,38,105,123,133
14,483,1,1000,30,75,80,181,144
14,476,0,1000,9,28,85,268,126
14,473,0,1000,16,24,142,231,108
14,439,0,1000,6,28,45,245,233
14,447,0,1000,8,15,81,341,106
14,430,0,1000,16,35,68,197,247
14,432,0,1000,4,34,81,292,153
14,422,2,1000,10,31,146,270,120
14,537,0,1000,4,25,67,209,155
14,476,0,1000,22,58,86,206,141
15,483,1,1000,7,21,35,264,183
15,427,0,1000,9,38,108,178,235
15,438,0,1000,18,20,135,159,225
15,436,0,1000,11,23,107,291,129
15,509,1,1000,4,12,75,252,148
15,440,1,1000,10,42,81,266,159
15,392,0,1000,2,38,101,226,238
15,485,2,1000,6,22,100,187,199
15,450,0,1000,16,67,90,144,229
15,454,0,1000,2,14,68,341,119
16,374,0,1000,11,30,51,214,317
16,381,0,1000,20,58,109,226,195
16,437,0,1000,18,59,129,264,90
16,403,0,1000,8,24,71,239,252
16,374,0,1000,10,27,86,357,142
16,446,0,1000,3,21,50,256,221
16,405,0,1000,14,22,86,179,290
16,430,0,1000,1,19,38,117,393
16,412,1,1000,10,21,57,224,273
16,397,0,1000,11,44,172,222,151
17,332,0,1000,7,27,71,407,154
17,341,0,1000,11,58,124,293,170
17,397,0,1000,5,29,81,241,244
17,475,0,1000,6,46,99,239,130
17,385,0,1000,9,29,90,335,143
17,442,0,1000,3,45,117,290,100
17,360,0,1000,10,38,236,201,150
17,317,0,1000,12,27,44,322,277
17,306,1,1000,33,69,149,229,210
17,405,0,1000,12,26,85,298,173
18,370,0,1000,4,28,95,362,139
18,397,0,1000,4,11,52,303,232
18,382,0,1000,11,33,139,351,84
18,388,0,1000,22,43,139,294,105
18,397,0,1000,3,17,78,234,269
18,382,0,1000,3,15,63,281,256
18,335,0,1000,5,36,71,386,167
18,385,1,1000,5,36,100,291,183
18,415,1,1000,3,20,60,271,229
18,382,0,1000,9,53,151,229,173
19,368,0,1000,4,17,53,378,179
19,287,0,1000,8,17,120,414,153
19,318,0,1000,20,39,122,302,187
19,304,0,1000,7,18,168,370,132
19,307,0,1000,3,10,80,326,271
19,351,1,1000,9,48,126,329,132
19,301,0,1000,3,14,150,340,190
19,294,0,1000,24,24,133,242,279
19,332,0,1000,12,19,103,317,214
19,377,0,1000,17,49,89,215,251
20,384,0,1000,4,35,102,314,160
20,354,0,1000,3,10,74,245,314
20,285,0,1000,9,16,55,305,329
20,362,0,1000,14,45,112,270,190
20,357,0,1000,9,57,83,277,214
20,334,0,1000,5,13,178,339,129
20,347,0,1000,14,59,59,249,271
20,283,0,1000,10,32,126,358,191
20,287,0,1000,8,36,88,345,235
20,303,0,1000,3,45,92,331,221
25,270,0,1000,7,34,78,355,254
25,277,0,1000,13,27,89,304,286
25,276,0,1000,9,48,56,427,184
25,216,1,1000,5,10,51,474,243
25,301,0,1000,9,18,55,418,199
25,253,0,1000,9,25,205,387,120
25,204,0,1000,10,28,94,390,273
25,259,0,1000,6,28,120,365,221
25,294,0,1000,15,38,101,313,237
25,246,0,1000,9,24,125,433,161
